State,WIC Participants,Nat School Lunch Program Participants,School Breakfast Program Participants,Summer Food Participants,% Adults with Diabetes,% Obese Adults,Population
AL,139001,539664,224173,30308,15.489552238805974,36.12835820895522,4829479
AK,23055,52495,20741,5078,7.1035714285714295,31.325,728929
AZ,182501,646767,289520,23688,11.093333333333332,28.77333333333333,6624617
AR,89777,332497,166376,41946,13.307999999999998,35.89866666666667,2958663
CA,1431881,3294580,1517341,114689,8.774137931034485,24.131034482758622,38335203
CO,96874,375033,155733,17933,6.4828125,20.682812499999994,5267603
CT,54248,280253,87971,12171,8.475,25.5875,3596003
DE,20797,94571,39522,8190,11.666666666666664,30.5,925395
DC,15674,50569,34873,34778,8.1,22.4,649165
FL,483565,1638775,750969,145389,12.034328358208953,29.817910447761193,19582022
GA,289524,1245368,608138,71557,12.686792452830188,31.39371069182389,9984938
HI,36370,113609,38466,5324,8.760000000000002,21.9,1406481
ID,43292,160189,75368,20959,9.238636363636363,28.674999999999986,1612011
IL,280463,1124196,416091,54067,10.50588235294118,29.966666666666654,12879505
IN,159525,781172,259036,58664,12.042391304347827,32.36304347826086,6569102
IA,65876,384195,94781,13607,10.27979797979798,32.581818181818186,3091930
KS,70615,348152,111453,25237,10.879047619047618,32.434285714285714,2892821
KY,129923,532791,276997,20189,13.2675,34.230000000000004,4400477
LA,139856,565262,265628,40912,12.893749999999995,36.1765625,4626402
ME,24380,100839,44986,10553,10.19375,28.912500000000005,1329076
MD,144628,422746,211676,73830,11.062500000000002,31.0125,5931129
MA,119952,514436,151474,46751,9.057142857142855,23.285714285714285,6706786
MI,254126,874098,381516,76198,11.371084337349393,32.081927710843374,9898982
MN,124745,608867,181891,45966,8.858620689655172,29.601149425287357,5418521
MS,91652,391574,207305,26916,14.657317073170734,36.80731707317072,2990482
MO,140821,610370,263352,27008,11.478260869565215,32.0513043478261,6042711
MT,19848,84069,28155,7615,9.341071428571428,27.173214285714284,1014314
NE,40151,243120,66556,9879,9.829032258064515,31.669892473118285,1868559
NV,75011,215821,92738,9716,9.088235294117645,27.182352941176468,2786464
NH,15679,97396,22497,14659,9.88,28.17,1322687
NJ,167873,694175,242578,59505,9.504761904761905,26.604761904761897,8899162
NM,61352,220187,148155,22386,9.254545454545452,25.078787878787878,2085193
NY,513299,1723748,641178,393066,9.630645161290325,27.524193548387093,19673546
NC,264755,906460,419976,98255,12.329000000000002,31.51300000000002,9841590
ND,13273,87065,23805,2454,10.067924528301882,31.871698113207536,724019
OH,263683,1063939,422862,60307,12.430681818181816,32.82500000000001,11570022
OK,118552,437992,227754,11315,13.025974025974026,34.453246753246745,3852415
OR,107859,293387,139697,38653,10.486111111111109,28.33611111111111,3925751
PA,253258,1066255,345082,96893,11.282089552238805,31.44626865671641,12781338
RI,23416,77353,32531,8188,9.24,25.380000000000006,1053033
SC,124287,478054,273443,56172,14.367391304347825,35.13913043478262,4767894
SD,20430,106252,28026,6060,10.247692307692311,31.54000000000001,830746
TN,159426,656847,350108,41923,13.79894736842106,32.694736842105264,6494821
TX,955072,3314594,1818710,180355,10.396062992125987,28.702755905511818,26473525
UT,66726,331693,74310,13186,8.313793103448273,25.98275862068965,2902663
VT,14836,51537,22926,6654,8.085714285714285,25.67857142857143,627140
VA,155935,717618,272470,55519,11.209022556390979,29.408270676691732,8262692
WA,191753,519599,183975,40365,10.14102564102564,29.128205128205128,6968006
WV,46402,194032,116981,11930,13.943636363636365,35.44000000000001,1853231
WI,113763,562217,173059,88294,9.706944444444455,31.470833333333346,5742854
WY,11980,53764,14914,3516,8.900000000000002,26.73478260869566,582684
