FIPS,State,FOODINSEC_10_12,FOODINSEC_13_15,CH_FOODINSEC_12_15,VLFOODSEC_10_12,VLFOODSEC_13_15,CH_VLFOODSEC_12_15,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11,Average
1001,AL,17.9,17.6,-0.3,6.8,7.3,0.5,8.5,9.3,
2013,AK,12.1,13.3,1.2,4.4,4.4,0,7.4,8,
4001,AZ,19.7,19.2,-0.5,8.1,7.4,-0.7,9.7,10.9,
5001,AR,14.9,14.9,0,6.4,6,-0.4,11.2,11.5,
6001,CA,15.6,12.6,-3,5.7,4.5,-1.2,10.4,10.8,
8001,CO,14.1,12.1,-2,5.8,5.1,-0.7,8,8.8,
9001,CT,13.4,13.1,-0.3,4.9,6.3,1.4,6.8,8,
10001,DE,12,13.2,1.2,4.5,4.8,0.3,6.3,7,
11001,DC,11.6,11.9,0.3,4.9,3.2,-1.7,9,11.2,
12001,FL,14.8,12.7,-2.1,5.7,5.4,-0.3,9.3,9.4,
13001,GA,16.9,14.9,-2,6.5,5.6,-0.9,9.2,10.5,
15001,HI,14,9.7,-4.3,5.6,3,-2.6,6.9,8.4,
16001,ID,12.6,10.6,-2,4.8,4.5,-0.3,9.7,8.7,
17001,IL,14.3,13.8,-0.5,5.3,5.1,-0.2,7,7.4,
18001,IN,13,11.1,-1.9,4.5,4.3,-0.2,6.2,7.8,
19001,IA,13.5,14.8,1.3,6.3,6.1,-0.2,7.5,8.3,
20001,KS,14.4,14.6,0.2,5.5,5.5,0,8.8,9.3,
21001,KY,15.6,17.6,2,6.2,7.3,1.1,8,10,
22001,LA,15.7,18.4,2.7,4.8,7.7,2.9,9.1,9,
23001,ME,11.4,9.7,-1.7,4.2,4.5,0.3,7.7,10.3,
24001,MD,13,10.7,-2.3,5.1,3.8,-1.3,6.5,7.9,
25001,MA,14.9,15.8,0.9,7.1,7.4,0.3,6.4,7.1,
26001,MI,13.4,14.9,1.5,5.3,6.4,1.1,7.6,8,
27001,MN,10.6,9.9,-0.7,4.8,3.8,-1,5.7,7.1,
28001,MS,16.7,15.2,-1.5,7.6,6.7,-0.9,11.3,12.4,
29001,MO,20.9,20.8,-0.1,6.9,7.9,1,8.3,9,
30001,MT,14.1,12.2,-1.9,5.6,5.6,0,8.4,9,
31001,NE,17,15.9,-1.1,5.5,6.2,0.7,7.3,8.1,
32001,NV,8.7,8.5,-0.2,3.4,2.9,-0.5,8.6,9.5,
33001,NH,13.4,14.8,1.4,5,5.6,0.6,4.8,5.1,
34001,NJ,9.9,10.1,0.2,4.3,4.3,0,6.9,7.4,
35001,NM,12.1,11.1,-1,4.6,4.7,0.1,12.4,12.4,
36001,NY,15.2,14.4,-0.8,5.9,5.7,-0.2,8,9.5,
37001,NC,16.6,14.2,-2.4,6.7,5.6,-1.1,10,10.2,
38001,ND,13.2,14.1,0.9,5,4.9,-0.1,5.3,5.8,
39001,OH,16.1,16.1,0,7.1,6.6,-0.5,8.2,8.6,
40001,OK,15.3,15.5,0.2,6.6,6.4,-0.2,10.5,11.4,
41001,OR,13.6,16.1,2.5,5.8,6.6,0.8,9.5,10.4,
42001,PA,12.3,12.4,0.1,4.8,4.8,0,7.2,7.9,
44001,RI,15.4,11.8,-3.6,5.5,5,-0.5,7.3,9.8,
45001,SC,15.4,13.2,-2.2,5.2,4.6,-0.6,9.2,9.8,
46003,SD,12.9,11.5,-1.4,4.9,4.5,-0.4,6.7,7.9,
47001,TN,16.2,15.1,-1.1,6.9,6,-0.9,8.9,10.1,
48001,TX,18.4,15.4,-3,6.2,6,-0.2,12.6,12.8,
49001,UT,14.8,11.9,-2.9,4.8,4.5,-0.3,9.7,9,
50001,VT,9.2,9.8,0.6,3.2,4.3,1.1,6.4,8,
51001,VA,12.7,11.4,-1.3,5.6,5.1,-0.5,6.2,6.2,
53001,WA,14.6,12.9,-1.7,6.1,4.8,-1.3,8.5,8.7,
54001,WV,11.2,11.3,0.1,4.7,4.7,0,6.5,7.4,
55001,WI,14.2,15,0.8,4.9,6.2,1.3,7.1,7.7,
56001,WY,13.8,13.2,-0.6,5.1,5.3,0.2,9,7.9,
