State,"% Of Adults with Diabetes, 2013","% Of Obese Adults, 2013","Population Estimate, 2013"
AK,7.1035714285714295,31.325,728929
AL,15.489552238805972,36.12835820895522,4829479
AR,13.307999999999998,35.89866666666667,2958663
AZ,11.093333333333332,28.773333333333333,6624617
CA,8.774137931034485,24.13103448275862,38335203
CO,6.4828125,20.682812499999994,5267603
CT,8.475,25.5875,3596003
DC,8.1,22.4,649165
DE,11.666666666666666,30.5,925395
FL,12.034328358208953,29.81791044776119,19582022
GA,12.686792452830188,31.39371069182389,9984938
HI,8.760000000000002,21.9,1406481
IA,10.27979797979798,32.581818181818186,3091930
ID,9.238636363636362,28.674999999999986,1612011
IL,10.50588235294118,29.966666666666658,12879505
IN,12.042391304347827,32.36304347826086,6569102
KS,10.879047619047615,32.43428571428572,2892821
KY,13.2675,34.230000000000004,4400477
LA,12.893749999999997,36.176562499999996,4626402
MA,9.057142857142855,23.285714285714285,6706786
MD,11.062500000000002,31.0125,5931129
ME,10.19375,28.912500000000005,1329076
MI,11.371084337349396,32.08192771084337,9898982
MN,8.858620689655172,29.601149425287353,5418521
MO,11.478260869565215,32.0513043478261,6042711
MS,14.657317073170736,36.807317073170715,2990482
MT,9.341071428571428,27.173214285714277,1014314
NC,12.329000000000002,31.51300000000002,9841590
ND,10.067924528301884,31.871698113207536,724019
NE,9.829032258064515,31.669892473118285,1868559
NH,9.879999999999999,28.169999999999998,1322687
NJ,9.504761904761905,26.6047619047619,8899162
NM,9.254545454545454,25.078787878787878,2085193
NV,9.088235294117645,27.18235294117647,2786464
NY,9.630645161290323,27.524193548387096,19673546
OH,12.430681818181817,32.82500000000001,11570022
OK,13.025974025974024,34.453246753246745,3852415
OR,10.48611111111111,28.336111111111105,3925751
PA,11.282089552238803,31.446268656716413,12781338
RI,9.24,25.380000000000003,1053033
SC,14.367391304347825,35.13913043478262,4767894
SD,10.24769230769231,31.540000000000006,830746
TN,13.798947368421059,32.694736842105264,6494821
TX,10.396062992125987,28.702755905511818,26473525
UT,8.313793103448274,25.982758620689655,2902663
VA,11.209022556390979,29.408270676691735,8262692
VT,8.085714285714285,25.678571428571427,627140
WA,10.14102564102564,29.128205128205128,6968006
WI,9.706944444444451,31.470833333333342,5742854
WV,13.943636363636365,35.440000000000005,1853231
WY,8.900000000000002,26.73478260869566,582684
